Mass [Msun]          H-1               He-4            C-12             N-14              O-16             Si-28            Ni-56            
   1.720402E+00     1.032008E-14     3.376444E-14     1.062592E-04     1.656923E-10     4.716772E-01     2.177046E-01     7.163733E-09  
   1.721440E+00     8.989250E-15     3.126534E-14     1.059904E-04     1.705546E-10     4.821925E-01     2.120347E-01     5.554166E-09  
   1.722159E+00     7.872611E-15     2.905213E-14     1.055481E-04     1.751421E-10     4.914281E-01     2.071548E-01     4.374169E-09  
   1.722698E+00     7.329133E-15     2.793193E-14     1.054621E-04     1.776227E-10     4.962077E-01     2.046554E-01     3.848459E-09  
   1.723057E+00     6.846479E-15     2.690531E-14     1.052579E-04     1.799640E-10     5.005312E-01     2.024185E-01     3.411829E-09  
   1.723576E+00     6.082756E-15     2.521620E-14     1.048375E-04     1.840182E-10     5.076593E-01     1.987742E-01     2.774207E-09  
   1.724256E+00     5.330890E-15     2.346478E-14     1.044887E-04     1.885587E-10     5.151872E-01     1.949708E-01     2.206781E-09  
   1.725146E+00     4.369367E-15     2.105620E-14     1.039228E-04     1.954398E-10     5.257022E-01     1.897386E-01     1.568692E-09  
   1.726108E+00     3.710549E-15     1.927155E-14     1.039069E-04     2.011852E-10     5.338490E-01     1.857167E-01     1.186366E-09  
   1.726952E+00     3.154955E-15     1.764967E-14     1.037899E-04     2.069428E-10     5.414000E-01     1.820255E-01     9.008383E-10  
   1.727815E+00     2.683406E-15     1.616648E-14     1.037105E-04     2.127117E-10     5.485081E-01     1.785675E-01     6.846068E-10  
   1.728587E+00     2.355325E-15     1.506267E-14     1.037362E-04     2.174203E-10     5.539816E-01     1.759068E-01     5.484253E-10  
